05/14/2020,05/15/2020,09/22/2020,Live Nation Entertainment Clubs and Theaters Division,Los Angeles,Los Angeles County,23 Layoff Temporary
05/14/2020,05/15/2020,09/22/2020,Live Nation Entertainment Inc. Clubs and Theaters,Beverly Hills,Los Angeles County,67 Layoff Temporary
,,,Dvision,,,
04/28/2020,05/22/2020,09/22/2020,"Express Manufacturing, Inc.",Santa Ana,Orange County,273 Layoff Permanent
05/14/2020,05/15/2020,09/22/2020,"Live Nation Entertainment, Inc. House of Blues Anaheim-",Anaheim,Orange County,17 Layoff Temporary
,,,Gardenwalk,,,
05/14/2020,05/15/2020,09/22/2020,Live Nation Entertainment Inc. Observatory OC,Santa Ana,Orange County,5 Layoff Temporary
09/18/2020,09/23/2020,09/22/2020,"Freeman Company, LLC",Anaheim,Orange County,18 Layoff Temporary
05/14/2020,05/15/2020,09/22/2020,Live Nation Entertainment Inc.,Riverside,Riverside County,5 Layoff Temporary
09/22/2020,10/04/2020,09/22/2020,"ABM, Inc.",San Diego,San Diego County,85 Closure Permanent
05/14/2020,05/15/2020,09/22/2020,"Live Nation Entertainment, Inc.",San Francisco,San Francisco County,9 Layoff Temporary
09/18/2020,09/23/2020,09/22/2020,"The Freeman Company, LLC",San Francisco,San Francisco County,18 Layoff Temporary
08/20/2020,10/30/2020,09/22/2020,"Highgate Hotels, L.P. dba Westin Long Beach",Long Beach,Los Angeles County,48 Layoff Permanent
05/22/2020,05/23/2020,09/22/2020,WB Studio Enterprises Inc. dba Warner Bros. Studio,Burbank,Los Angeles County,63 Layoff Permanent
,,,"Operations,",,,
03/24/2020,03/21/2020,09/22/2020,Renaissance Hotel Operating Co. dba Renaissance,Indian Wells,Riverside County,446 Layoff Temporary
,,,Esmeralda Resort and Spa,,,
05/22/2020,03/27/2020,09/22/2020,"Directed, LLC",Vista,San Diego County,85 Layoff Permanent
03/20/2020,03/17/2020,09/22/2020,"THE RITZ-CARLTON HOTEL CO LLC, DBA THE RITZ-",Half Moon Bay,San Mateo County,493 Layoff Temporary
,,,"CARLTON, HALF MOON BAY",,,
07/07/2020,07/07/2020,09/23/2020,Shults Steel Company,South Gate,Los Angeles County,21 Layoff Temporary
07/07/2020,07/07/2020,09/23/2020,Shultz Steel Company,South Gate,Los Angeles County,22 Layoff Permanent
07/10/2020,07/10/2020,09/23/2020,Shultz Steel Company,South Gate,Los Angeles County,13 Layoff Permanent
