04/29/2022,05/03/2022,06/30/2022,First Baptist Head Start-Belshaw Center,Contra Costa County,7 Layoff Permanent,2801 Roosevelt Lane  Antioch CA 94509
04/29/2022,05/03/2022,06/30/2022,First Baptist Head Start-Administration Office,Contra Costa County,13 Layoff Permanent,3890 Railroad Avenue  Pittsburg CA 94565
04/29/2022,05/03/2022,06/30/2022,First Baptist Head Start-East Leland Center,Contra Costa County,11 Layoff Permanent,2555 East Leland Road  Pittsburg CA 94565
04/29/2022,05/03/2022,06/30/2022,First Baptist Head Start-Kid's Castle Center,Contra Costa County,19 Layoff Permanent,55 Castlewood Drive  Pittsburg CA 94565
04/29/2022,05/03/2022,06/30/2022,First Baptist Head Start-Lido Square Center,Contra Costa County,5 Layoff Permanent,2131 Crestview Lane  Pittsburg CA 94565
04/29/2022,05/03/2022,06/30/2022,First Baptist Head Start-Fairgrounds Center,Contra Costa County,22 Layoff Permanent,1203 West 20th Street  Antioch CA 94509
04/29/2022,05/03/2022,06/30/2022,First Baptist Head Start-Lone Tree Center,Contra Costa County,7 Layoff Permanent,1931 Mokelumne Drive  Antioch CA 94531
04/29/2022,05/03/2022,06/30/2022,First Baptist Head Start-Odessa Center,Contra Costa County,3 Layoff Permanent,204 Odessa Avenue  Pittsburg CA 94565
04/29/2022,05/03/2022,06/30/2022,Morrison Healthcare at Kaiser Permanente-Downey,Los Angeles County,8 Layoff Permanent,9333 Imperial Hwy  Downey CA 90242
04/29/2022,05/03/2022,06/30/2022,Morrison Healthcare at Kaiser Permanente-,Los Angeles County,1 Layoff Permanent,12254 Bellflower Blvd.  Downey CA 90242
,,,Independence Park,,,
04/29/2022,05/03/2022,06/30/2022,Morrison Healthcare at Kaiser Permanente-Walnut,Los Angeles County,5 Layoff Permanent,393 E. Walnut St.  Pasadena CA 91188
,,,Creek,,,
05/02/2022,05/04/2022,06/17/2022,"Blend Labs, Inc.",Orange County,89 Layoff Permanent,1600 East St. Andrew Place  Santa Ana CA
,,,,,,92705
04/28/2022,05/04/2022,06/27/2022,Pennymac,Placer County,13 Layoff Permanent,3013 Douglas Blvd  Roseville CA 95661
05/02/2022,05/04/2022,06/17/2022,"Blend Labs, Inc.",San Francisco County,60 Layoff Permanent,415 Kearny St.  San Francisco CA 94108
04/28/2022,05/04/2022,06/27/2022,Pennymac,Ventura County,25 Layoff Permanent,112 Lakeview Canyon Road  Westlake
,,,,,,Village CA 91361
05/02/2022,05/04/2022,06/17/2022,"Blend Labs, Inc.",Ventura County,6 Layoff Permanent,"One Baxter Way, Suite 260  Westlake"
,,,,,,Village CA 91362
05/02/2022,05/05/2022,05/02/2022,Public Health Institute (PHI),Alameda County,51 Layoff Permanent,"555 12th Street, 6th Floor  Oakland CA"
,,,,,,94607
05/02/2022,05/05/2022,06/30/2022,Radford Studio Center LLC,Los Angeles County,54 Layoff Permanent,4024 Radford Avenue  Studio City CA 91604
05/01/2022,05/05/2022,06/30/2022,Telus International dba Voxpro Group LLC,Sacramento County,87 Layoff Permanent,255 Parkshore Drive  Folsom CA 95630
05/05/2022,05/05/2022,07/05/2022,"GATR Technologies Inc./ISR Systems Inc., subsidiary of",San Diego County,24 Closure Permanent,3635 Afton Rd.  San Diego CA 92123
,,,Cubic Corporation,,,
