January 2024,293,"13,516",213,3,4,73,0,0.1
February 2024,202,"11,374",172,4,0,25,1,0
March 2024,74,"5,948",46,0,0,28,0,0
April 2024,212,"11,665",134,0,0,75,3,0
May 2024,235,"9,730",179,1,2,53,0,0
June 2024,79,"4,800",56,2,0,20,1,0
Total,"1,814","94,189","1,292",29,7,470,16,0
