02/10/2021,04/19/2021,02/16/2021,"Morley Companies, Inc. Fountain Valley",Unnamed: 0,Orange County,87 Layoff Permanent
01/22/2021,01/22/2021,02/16/2021,Hyatt Corporation - Hyatt Regency Sacramento Sacramento,,Sacramento County,12 Closure Temporary
02/10/2021,12/29/2020,02/16/2021,Universal City Studios LLC dba Universal Studios Universal City,,Los Angeles County,17 Layoff Permanent
,,,Hollywood,,,
02/11/2021,02/11/2021,02/16/2021,Norwegian Air Shuttle ASA dba Norwegian Air Resources Los Angeles,,Los Angeles County,96 Closure Permanent
,,,US,,,
01/25/2021,03/26/2021,02/16/2021,Genpact LLC Mountain View,,Santa Clara County,39 Layoff Permanent
12/07/2020,11/25/2020,02/18/2021,"Cameron Mitchell Restaurants, LLC Beverly Hills",,Los Angeles County,62 Layoff Temporary
11/24/2020,11/24/2020,02/18/2021,Ace Hotel Group LLC - Ace Hotel DTLA Los Angeles,,Los Angeles County,50 Layoff Temporary
08/27/2020,08/07/2020,02/18/2021,Wyndham Vacation Ownership dba Peacock Suites Anaheim,,Orange County,2 Layoff Permanent
01/15/2021,01/15/2021,02/19/2021,Hyatt Corporation - Hyatt Regency Long Beach Long Beach,,Los Angeles County,15 Layoff Temporary
01/14/2021,01/06/2021,02/19/2021,Wells Fargo San Francisco,,San Francisco County,3 Layoff Permanent
12/03/2020,09/07/2020,02/22/2021,"Intarcia Therapeutics, Inc Hayward",,Alameda County,79 Layoff Permanent
03/27/2020,03/27/2020,02/22/2021,THE COLLECTED GROUP VERNON,,Los Angeles County,46 Layoff Permanent
01/26/2021,03/30/2021,02/22/2021,"VMware, Inc. Palo Alto",,Santa Clara County,107 Layoff Permanent
01/07/2021,01/07/2021,02/22/2021,Intercontinental Hotel-Los Angeles Downtown Los Angeles,,Los Angeles County,46 Layoff Temporary
01/18/2021,01/12/2021,02/22/2021,The Estate Yountville Yountville,,Napa County,27 Layoff Permanent
02/18/2021,04/01/2021,02/23/2021,California Resources Corporation Bakersfield,,Kern County,50 Layoff Permanent
02/05/2021,02/05/2021,02/23/2021,Academy of Motion Picture Arts and Sciences Beverly Hills,,Los Angeles County,7 Layoff Temporary
01/25/2021,09/25/2020,02/23/2021,"STAR Sports Theatre Arts & Recreation, Inc. Culver City",,Los Angeles County,76 Layoff Permanent
