04/23/2021,06/25/2021,04/29/2021,BBVA Open Platform,San Francisco,San Francisco County,2 Closure Permanent
04/28/2021,07/09/2021,04/29/2021,Couch Distributing Company Inc.,Watsonville,Santa Cruz County,108 Layoff Permanent
04/23/2021,04/23/2021,04/29/2021,ART Asset Adjusters,Oxnard,Ventura County,4 Closure Permanent
03/31/2021,06/01/2021,04/29/2021,MV Transportation Inc.,Paramount,Los Angeles County,39 Closure Permanent
04/27/2021,06/30/2021,04/29/2021,Transdev Rail Inc. with Southern California Regional Rail,San Dimas,Los Angeles County,71 Layoff Permanent
,,,Authority AKA Metrolink,,,
04/26/2021,06/30/2021,04/29/2021,Las Islas Family Medical Group,Oxnard,Ventura County,206 Closure Permanent
04/27/2021,06/23/2021,04/29/2021,Las Posas Family Medical Group Inc.,Camarillo,Ventura County,37 Closure Permanent
04/26/2021,06/25/2021,04/29/2021,Johnson & Johnson Consumer Inc.,Los Angeles,Los Angeles County,3 Layoff Permanent
04/12/2021,12/31/2021,04/30/2021,"L3 Technologies, Inc. - Subsidiary of L3Harris",Sylmar,Los Angeles County,86 Closure Permanent
,,,Technologies,,,
04/16/2021,06/30/2021,04/30/2021,Perspecta Inc.,Point Mugu Nawc,Ventura County,4 Layoff Permanent
04/30/2021,05/21/2021,05/04/2021,CORE Community Organized Relief Effort at Dodgers,Los Angeles,Los Angeles County,364 Closure Permanent
,,,Stadium,,,
03/30/2021,06/30/2021,05/04/2021,Interconnect Solutions Company,Chino,San Bernardino County,30 Closure Type Unknown
04/29/2021,06/28/2021,05/04/2021,Wells Fargo,San Francisco,San Francisco County,10 Layoff Permanent
05/03/2021,07/02/2021,05/04/2021,Loon LLC,Mountain View,Santa Clara County,151 Layoff Permanent
04/29/2021,06/30/2021,05/04/2021,SDH Services West LLC (Sodexo) at Long Beach,Long Beach,Los Angeles County,362 Layoff Permanent
,,,Medical Center,,,
04/30/2021,06/23/2021,05/04/2021,Conejo Valley Family Medical Group Inc.,Thousand Oaks,Ventura County,72 Closure Permanent
04/30/2021,06/23/2021,05/04/2021,Ventura Seaside Medical Group Inc. dba West Ventura,Ventura,Ventura County,92 Closure Permanent
,,,Medical Clinic,,,
04/30/2021,06/30/2021,05/04/2021,Turner Techtronics,Burbank,Los Angeles County,24 Layoff Permanent
