05/27/2022,05/31/2022,08/26/2022,Cathay Pacific Airways Limited,San Francisco County,12 Layoff Permanent,SFO PO Box 251925  San Francisco CA
,,,,,,94125
06/01/2022,06/06/2022,07/31/2022,360 Behavioral Health,Kern County,93 Closure Permanent,"5500 Ming Avenue, Suite 140  Bakersfield"
,,,,,,CA 93309
06/01/2022,06/06/2022,07/31/2022,360 Behavioral Health,Orange County,92 Closure Permanent,"1400 Reynolds Avenue, Suite 160  Irvine"
,,,,,,CA 92614
06/01/2022,06/06/2022,07/31/2022,360 Behavioral Health,Riverside County,70 Closure Permanent,73321 Fred Waring Dr.  Palm Desert CA
,,,,,,92260
06/01/2022,06/06/2022,07/31/2022,360 Behavioral Health,Riverside County,44 Closure Permanent,"29995 Technology Drive, Suite 200"
,,,,,,Murrieta CA 92563
06/01/2022,06/06/2022,07/31/2022,360 Behavioral Health,San Bernardino County,47 Closure Permanent,60 East 9th Street  Upland CA 91786
06/01/2022,06/06/2022,07/31/2022,360 Behavioral Health,San Diego County,110 Closure Permanent,5050 Murphy Canyon Rd Suite 150  San
,,,,,,Diego CA 92123
06/01/2022,06/06/2022,07/31/2022,360 Behavioral Health,San Luis Obispo County,22 Closure Permanent,889 Murray Ave  San Luis Obispo CA 93405
06/01/2022,06/06/2022,07/31/2022,360 Behavioral Health,Santa Barbara County,5 Closure Permanent,4141 State Street E-12/13  Santa Barbara
,,,,,,CA 93110
06/01/2022,06/06/2022,07/31/2022,360 Behavioral Health,Ventura County,20 Closure Permanent,990 Enchanted Way #100  Simi Valley CA
,,,,,,93065
05/31/2022,06/08/2022,06/26/2022,The Vons Companies Inc.,San Diego County,45 Closure Permanent,940 S. Santa Fe Avenue  Vista CA 92084
06/01/2022,06/08/2022,07/31/2022,Carbon Health,San Francisco County,131 Layoff Permanent,"300 California Street, 7th Floor  San"
,,,,,,Francisco CA 94104
05/31/2022,06/13/2022,05/24/2022,"Bright Futures Academy, LLC",Riverside County,44 Layoff Permanent,9994 County Farm Rd  Riverside CA 92503
06/02/2022,06/13/2022,07/04/2022,Wells Fargo,San Bernardino County,1 Closure Permanent,1003 E. Brier Drive  San Bernardino CA
,,,,,,92408
06/01/2022,06/14/2022,07/31/2022,"Coram, CVS Specialty Infusion Services",Los Angeles County,63 Closure Permanent,"2710 Media Center Drive, Building #6 Suite"
,,,,,,150  Los Angeles CA 90065
05/24/2022,06/14/2022,07/25/2022,"Illume Ag HR, Inc.",Riverside County,186 Layoff Permanent,65500 Lincoln Street  Mecca CA 92254
05/24/2022,06/14/2022,07/25/2022,"Illume Ag HR, Inc.",Riverside County,22 Layoff Permanent,88100 58th Avenue  Thermal CA 92274
05/23/2022,06/14/2022,08/15/2022,Silgan Containers,Sacramento County,58 Layoff Temporary,6200 Franklin Blvd. Suite 100  Sacramento
,,,,,,CA 95824
06/14/2022,06/14/2022,09/01/2022,SummerBio LLC,San Mateo County,101 Closure Permanent,185 Constitution Drive  Menlo Park CA
,,,,,,94025
06/15/2022,06/15/2022,08/15/2022,Azusa Pacific University,Los Angeles County,29 Layoff Permanent,901 E. Alosta Ave.  Azusa CA 91702
