January 2025,97,"6,126",50,0,0.1,45,1,1.1
February 2025,168,"8,035",107,0,0,61,0,0
March 2025,95,"4,501",63,0,0,32,0,0
April 2025,184,"7,641",115,3,0,63,3,0
May 2025,129,"22,305",94,1,1,32,0,1
June 2025,119,"5,880",84,1,7,26,1,0
Total,"1,506","93,273",890,21,8,567,17,3
