06/24/2020,06/30/2020,09/20/2020,"Live Nation Entertainment, Inc. Information and Security",Hollywood,Los Angeles County,1 Layoff Temporary
,,,Division,,,
07/31/2020,07/31/2020,09/20/2020,"Live Nation Entertainment, Inc. Ticketmaster Division",Hollywood,Los Angeles County,25 Layoff Temporary
05/27/2020,06/11/2020,09/20/2020,Howmet Aerospace,Fontana,San Bernardino County,62 Layoff Permanent
06/03/2020,06/05/2020,09/20/2020,Wyndham Vacation Resort - Angels Camp Resort,Angels Camp,Calaveras County,2 Layoff Temporary
05/29/2020,05/29/2020,09/20/2020,"Cal Poly Pomona Foundation, Inc.",Pomona,Los Angeles County,39 Layoff Permanent
06/03/2020,06/05/2020,09/20/2020,Wyndham Vacation Ownership - Vino Bello Napa,Napa,Napa County,4 Layoff Temporary
06/03/2020,06/05/2020,09/20/2020,Wyndham Vacation Ownership - Vino Napa Bello Resort,Napa,Napa County,2 Layoff Permanent
05/15/2020,06/01/2020,09/20/2020,Wyndham Vacation Ownership - Vino Bello Napa Resort,Napa,Napa County,2 Layoff Permanent
07/10/2020,07/03/2020,09/20/2020,Wyndham Vacation Ownership - Vino Bello Napa Resort,Napa,Napa County,1 Layoff Permanent
07/10/2020,07/03/2020,09/20/2020,Wyndham Vacation Ownership - Anaheim Resort,Anaheim,Orange County,11 Layoff Permanent
05/15/2020,06/01/2020,09/20/2020,Wyndham Vacation Ownership - Anaheim Resort,Anaheim,Orange County,2 Layoff Permanent
06/03/2020,05/30/2020,09/20/2020,Wyndham Vacation Ownership - Anaheim Resort,Anaheim,Orange County,6 Layoff Temporary
06/03/2020,05/30/2020,09/20/2020,Wyndham Vacation Ownership - Anaheim Resort,Anaheim,Orange County,17 Layoff Permanent
05/15/2020,06/01/2020,09/20/2020,Wyndham Vacation Ownership - Indio Resort,Indio,Riverside County,1 Layoff Permanent
06/03/2020,06/05/2020,09/20/2020,Wyndham Vacation Ownership - Indio Resort,Indio,Riverside County,9 Layoff Temporary
06/03/2020,06/05/2020,09/20/2020,Wyndham Vacation Ownership - Indio Resort,Indio,Riverside County,11 Layoff Permanent
07/10/2020,07/03/2020,09/20/2020,Wyndham Vacation Ownership - Indio Resort,Indio,Riverside County,1 Layoff Permanent
06/04/2020,06/11/2020,09/20/2020,Howmet Aerospace,Fontana,San Bernardino County,4 Layoff Permanent
