01/26/2021,01/22/2021,01/28/2021,Academy Foundation,Beverly Hills,Los Angeles County,2 Layoff Temporary
01/27/2021,01/05/2021,01/28/2021,Academy Museum of Motion Pictures,Los Angeles,Los Angeles County,11 Layoff Temporary
01/15/2021,04/01/2020,01/28/2021,Hotel Crafters Hollywood LLC,West Hollywood,Los Angeles County,51 Layoff Permanent
01/15/2021,01/22/2021,01/28/2021,"Hotel Crafters LA, LLC",Los Angeles,Los Angeles County,19 Layoff Permanent
01/21/2021,03/26/2021,01/28/2021,"Thales Avionics, Inc.",Irvine,Orange County,28 Layoff Permanent
01/27/2021,04/02/2021,01/28/2021,Premium Brands Services LLC,Riverside,Riverside County,314 Closure Permanent
01/26/2021,04/02/2021,01/28/2021,Sutter Health,Mather,Sacramento County,277 Layoff Permanent
01/26/2021,04/30/2021,01/28/2021,Stitch Fix Inc.,South San Francisco,San Mateo County,162 Closure Permanent
01/25/2021,12/31/2020,01/28/2021,Sunset Bay Farms dba McGowan Ranch,Moss Landing,Monterey County,144 Layoff Permanent
01/22/2021,03/13/2021,01/29/2021,"WeWork Companies, Inc.",San Francisco,San Francisco County,4 Layoff Permanent
01/28/2021,04/02/2021,01/29/2021,CSAA Insurance Group,Fairfield,Solano County,16 Closure Permanent
01/29/2021,03/20/2021,02/03/2021,Jeni's Splendid Ice Creams,South El Monte,Los Angeles County,2 Closure Permanent
01/29/2021,03/31/2021,02/03/2021,"West Coast Terminal & Stevedore, Inc.",Long Beach,Los Angeles County,140 Closure Type Unknown
01/29/2021,03/31/2021,02/03/2021,TFCF Digital Enterprises,Los Angeles,Los Angeles County,103 Layoff Type Unknown
02/01/2021,04/02/2021,02/04/2021,"CoorsTek Vista, Inc.",Vista,San Diego County,20 Closure Permanent
08/27/2020,08/07/2020,02/09/2021,Wyndham Vacation Ownership dba Palm Springs Resort,Palm Springs,Riverside County,1 Layoff Permanent
01/29/2021,04/02/2021,02/09/2021,Azlo Business Inc.,San Francisco,San Francisco County,20 Closure Permanent
01/29/2021,04/02/2021,02/09/2021,Upturn Business Inc.,San Francisco,San Francisco County,9 Closure Permanent
