07/28/2021,07/29/2021,10/01/2021,Sky Chefs Inc.,Orange County,72 Layoff Permanent,2990-B Airway Ave.  Costa Mesa CA 92626
07/09/2021,07/29/2021,07/09/2021,SSD Operating Co. LLC dba Sheraton San Diego Hotel,San Diego County,21 Layoff Temporary,1380 Harbor Island Drive  San Diego CA
,,,& Marina,,,92101
07/29/2021,07/29/2021,09/27/2021,Radius Aerospace,San Diego County,84 Closure Permanent,203 N. Johnson Ave.  El Cajon CA 92020
07/28/2021,07/29/2021,10/01/2021,Sky Chefs Inc.,San Mateo County,210 Layoff Permanent,868 Cowan Rd.  Burlingame CA 94010
07/30/2021,08/06/2021,09/28/2021,Amazon Logistics - DLA3,Los Angeles County,161 Closure Permanent,5289 Smithway St.  Los Angeles CA 90040
07/30/2021,08/06/2021,09/28/2021,Amazon Logistics,Los Angeles County,161 Closure Permanent,5289 Smithway Street  Los Angeles CA
,,,,,,90040
07/31/2021,08/06/2021,10/22/2021,"Mirion Technologies, Inc.",Orange County,57 Closure Permanent,2652 McGaw Avenue  Irvine CA 92614
07/30/2021,08/06/2021,09/30/2021,Panasonic Avionics,Orange County,221 Layoff Permanent,26220 Enterprise Way  Lake Forest CA
,,,,,,92630
07/29/2021,08/06/2021,09/30/2021,Loma Linda University Health Care,San Bernardino County,81 Layoff Permanent,11370 Anderson Street  Loma Linda CA
,,,,,,92354
08/06/2021,08/06/2021,10/14/2021,"CMC Steel Fabricators, Inc. dba CMC Rebar",San Bernardino County,36 Closure Permanent,12451 Arrow Route  Rancho Cucamonga
,,,,,,CA 91739
07/09/2021,08/06/2021,10/02/2021,"Louis Vuitton USA, Inc.",San Diego County,8 Closure Permanent,7027 Friars Road  San Diego CA 92108
07/29/2021,08/06/2021,09/30/2021,"Bristol-Meyers Squibb and MyoKardia, Inc.",San Mateo County,4 Layoff Permanent,1000 Sierra Point Pkwy.  Brisbane CA 94005
08/01/2021,08/06/2021,10/01/2021,Flying Food Group,San Mateo County,119 Layoff Permanent,240 Littlefield Ave  South San Francisco CA
,,,,,,94080
08/06/2021,08/06/2021,10/05/2021,Novo Technologies,Stanislaus County,68 Layoff Temporary,"5933 Stoddard Road, Building 11  Modesto"
,,,,,,CA 95356
08/09/2021,08/10/2021,10/29/2021,S&C Electric Company,Alameda County,31 Closure Permanent,1125-1135 Atlantic Avenue  Alameda CA
,,,,,,94501
06/10/2021,08/10/2021,07/14/2021,Apollo Couriers Inc.,Los Angeles County,42 Closure Permanent,20730 Prairie Street  Chatsworth CA 91311
06/10/2021,08/10/2021,07/14/2021,Apollo Couriers Inc.,Los Angeles County,49 Closure Permanent,2815 W. El Segundo Blvd.  Hawthorne CA
,,,,,,90250
07/30/2021,08/10/2021,10/01/2021,Flying Food Group,Los Angeles County,70 Layoff Permanent,901 W. Hillcrest Blvd.  Inglewood CA 90301
06/10/2021,08/10/2021,07/14/2021,Apollo Couriers Inc.,Orange County,35 Closure Permanent,17871 Von Karman Avenue  Irvine CA
,,,,,,92614
07/30/2021,08/10/2021,10/01/2021,CoorsTek Vista Inc.,San Diego County,39 Closure Permanent,2065 Thibodo Road  Vista CA 92081
