model,r_squared,adj_r_squared,aic,bic
Macro only,0.45198165496178466,0.4184295113880163,50.22946923586494,58.11063689007343
Macro + news,0.5208238013861606,0.4698476100442628,47.114728768857674,58.936480250170405
