model_name,accuracy,precision_macro,recall_macro,f1_macro
Random Forest Classifier,0.4166666666666667,0.43333333333333335,0.42857142857142855,0.301994301994302
Logistic Regression,0.4166666666666667,0.2571428571428571,0.30158730158730157,0.2738095238095238
