model_name,feature_set,train_rmse,test_rmse,train_mae,test_mae,train_r2,test_r2
Linear Regression (Macro only),macro,0.3632972650050712,0.35983228630210556,0.271989388591264,0.2628461770630699,0.516601944680992,-0.13357083804292813
Ridge Regression (Macro + News),macro_news,0.36006643717696746,0.41391706117018756,0.25716653419817675,0.3306817260935659,0.5251614993387379,-0.4999440655547911
Random Forest Regressor (Macro + News),macro_news,0.2411444501670928,0.473247510942288,0.1759804410790906,0.3580309067077096,0.7870217840841336,-0.960762919405719
