model_name,feature_set,train_rmse,test_rmse,train_mae,test_mae,train_r2,test_r2,task,accuracy,precision_macro,recall_macro,f1_macro
Linear Regression (Macro only),macro,0.3632972650050712,0.35983228630210556,0.271989388591264,0.2628461770630699,0.516601944680992,-0.13357083804292813,regression,,,,
Ridge Regression (Macro + News),macro_news,0.36006643717696746,0.41391706117018756,0.25716653419817675,0.3306817260935659,0.5251614993387379,-0.4999440655547911,regression,,,,
Random Forest Regressor (Macro + News),macro_news,0.2411444501670928,0.473247510942288,0.1759804410790906,0.3580309067077096,0.7870217840841336,-0.960762919405719,regression,,,,
Random Forest Classifier,,,,,,,,classification,0.4166666666666667,0.43333333333333335,0.42857142857142855,0.301994301994302
Logistic Regression,,,,,,,,classification,0.4166666666666667,0.2571428571428571,0.30158730158730157,0.2738095238095238
