05/15/2025,05/15/2025.1,07/07/2025,Amazon (SJC14 Facility),Santa Clara County,6 Layoff Permanent,905 11th Avenue  Sunnyvale CA 94089
05/15/2025,05/15/2025,07/07/2025,Amazon (SJC31 Facility),Santa Clara County,5 Layoff Permanent,1100 Discovery Way  Sunnyvale CA 94089
05/15/2025,05/15/2025,07/07/2025,Amazon (SJC32 Facility),Santa Clara County,8 Layoff Permanent,1140 Enterprise Way  Sunnyvale CA 94089
05/15/2025,05/15/2025,07/14/2025,UPS,Yolo County,355 Layoff Permanent,1380 Shore Street  West Sacramento CA 95691
05/16/2025,05/16/2025,05/19/2025,"Niantic, Inc.",San Francisco County,5 Layoff Permanent,"1 Ferry Building, #200  San Francisco CA 94111"
05/19/2025,05/19/2025,05/19/2025,Seasons 52,Sacramento County,85 Closure Permanent,"1689 Arden Way, Suite 1065  Sacramento CA 95815"
05/20/2025,05/20/2025,07/21/2025,Tend Exchange Subsidiary LLC and Delaware Tender Staffing,Los Angeles County,"16,132 Closure Permanent","6701 Center Drive W., Suite 425  Los Angeles CA 90045"
,,,LLC,,,
05/16/2025,05/20/2025,07/18/2025,"PMAB-5, LLC",San Mateo County,63 Layoff Permanent,101 Hillsdale Shopping Ctr  San Mateo CA 94403
05/13/2025,05/20/2025,08/01/2025,"L&T Precision, LLC",San Diego County,81 Closure Permanent,12105 Kirkham Rd.  Poway CA 92064
05/13/2025,05/20/2025,05/15/2025,Chegg,Santa Clara County,88 Layoff Permanent,3990 Freedom Circle  San Jose CA 95134
05/19/2025,05/21/2025,05/19/2025,Kaiser Foundation Hospitals,Alameda County,2 Layoff Permanent,One Kaiser Plaza  Oakland CA 94612
05/19/2025,05/21/2025,05/19/2025,Kaiser Foundation Hospitals,Alameda County,2 Layoff Permanent,"4460 Hacienda Dr., Bldg. A  Pleasanton CA 94588"
05/19/2025,05/21/2025,05/19/2025,Kaiser Foundation Hospitals,Los Angeles County,1 Layoff Permanent,74 N. Pasadena Ave.  Pasadena CA 91103
05/21/2025,05/21/2025,07/21/2025,Eikon Therapeutics Inc.,San Mateo County,55 Layoff Permanent,230 Harriet Tubman Way  Millbrae CA 94030
05/21/2025,05/21/2025,07/22/2025,Allergan Aesthetics,Orange County,202 Layoff Permanent,2525 Dupont Drive  Irvine CA 92612
05/21/2025,05/21/2025,07/21/2025,"Creative Stone Mfg. Inc., DBA Coronado Stone Products",San Bernardino County,39 Closure Permanent,201 S. Cactus Avenue  Rialto CA 92376
05/20/2025,05/21/2025,05/20/2025,Cruise LLC,San Francisco County,22 Layoff Permanent,1201 Bryant  San Francisco CA 94103
05/22/2025,05/22/2025,07/21/2025,AAPC Lounge Services,Los Angeles County,130 Layoff Permanent,380 World Way  Los Angeles CA 90045
05/21/2025,05/22/2025,06/27/2025,NBCUniversal Media (Bldg. 1440),Los Angeles County,13 Layoff Permanent,"100 Universal City Plaza, Bldg. 1440  Universal City CA 91608"
05/21/2025,05/22/2025,06/27/2025,"NBCUniversal Media (Bldgs. 1280, 1320, 1360, and 4250)",Los Angeles County,41 Layoff Permanent,"100 Universal City Plaza, Bldgs. 1280, 1320, 1360, and 4250"
,,,,,,Universal City CA 91608
05/22/2025,05/22/2025,07/21/2025,Six Flags Entertainment Corporation,Los Angeles County,56 Layoff Permanent,26101 Magic Mountain Parkway  Valencia CA 91355
05/22/2025,05/22/2025,07/21/2025,Six Flags Entertainment Corporation,Orange County,65 Layoff Permanent,8039 Beach Boulevard  Buena Park CA 90620
05/22/2025,05/22/2025,07/21/2025,Six Flags Entertainment Corporation,Solano County,19 Layoff Permanent,1001 Fairgrounds Drive  Vallejo CA 94589
05/22/2025,05/22/2025,05/02/2025,Hewlett Packard Enterprise Company (HPE),Santa Clara County,61 Layoff Permanent,6280 America Center Drive  San Jose CA 95002
05/23/2025,05/23/2025,07/26/2025,Advanced Pressure Technology,Napa County,88 Layoff Permanent,687 Technology Way  Napa CA 94558
05/27/2025,05/27/2025,05/27/2025,Wells Fargo,Contra Costa County,1 Layoff Permanent,1755 Grant Street  Concord CA 94520
05/22/2025,05/28/2025,07/21/2025,"Pivot Bio, Inc.",Alameda County,62 Closure Permanent,2910 7th Street  Berkeley CA 94710
05/27/2025,05/28/2025,05/15/2025,LinkedIn Corporation,San Francisco County,60 Layoff Permanent,222 Second Street  San Francisco CA 94105
