03/25/2025,03/26/2025,06/11/2025,First Student,Riverside County,109 Closure Permanent,5006 Calle Raphael  Palm Springs CA 92264
03/26/2025,03/26/2025,07/01/2025,"Primo Brands, Inc.",Riverside County,2 Layoff Permanent,1363 Citrus Avenue  Riverside CA 92507
03/24/2025,03/26/2025,05/19/2025,SK hynix America Inc. (SKHYA),Sacramento County,58 Layoff Permanent,10951 White Rock Road  Rancho Cordova CA 95670
03/24/2025,03/26/2025,05/19/2025,SK hynix America Inc. (SKHYA),Santa Clara County,33 Layoff Permanent,3101 N First Street  San Jose CA 95134
03/26/2025,03/26/2025,07/01/2025,"Primo Brands, Inc.",Los Angeles County,1 Layoff Permanent,221 E. Alondra Boulevard  Gardena CA 90248
03/25/2025,03/26/2025,08/22/2025,Milgard Manufacturing LLC,Ventura County,397 Closure Permanent,355 E Easy St.  Simi Valley CA 93065
03/26/2025,03/27/2025,03/31/2025,"Nkarta, Inc.",San Mateo County,52 Layoff Permanent,1150 Veterans Blvd.  South San Francisco CA 94080
03/26/2025,03/27/2025,03/31/2025,"Nkarta, Inc.",San Mateo County,1 Layoff Permanent,6000 Shoreline Court  South San Francisco CA 94080
03/27/2025,03/27/2025,05/27/2025,"Gilead Sciences, Inc.",San Mateo County,149 Layoff Permanent,333 Lakeside Drive  Foster City CA 94404
03/27/2025,03/27/2025,05/28/2025,"Roche Molecular Systems, Inc.",Santa Clara County,108 Layoff Permanent,2881 Scott Blvd  Santa Clara CA 95050
03/27/2025,03/27/2025,06/27/2025,Novartis Pharmaceuticals Corporation,San Diego County,1 Closure Permanent,10210 Campus Point Drive #350  San Diego CA 92121
03/27/2025,04/01/2025,05/30/2025,"Brinker International Payroll Company, L.P.",Los Angeles County,115 Closure Permanent,6100 Topanga Canyon Blvd.  Woodland Hills CA 91367
03/31/2025,04/01/2025,05/04/2025,"Redemption Restaurants, LLC dba Chick-fil-A",Los Angeles County,65 Closure Temporary,732 W Rancho Vista Blvd  Palmdale CA 93551
03/28/2025,04/01/2025,05/30/2025,"Classic Beverage of Southern California, LLC",Los Angeles County,221 Closure Permanent,120 Puente Avenue  La Puente CA 91746
03/31/2025,04/01/2025,04/14/2025,Memorial Care,Los Angeles County,60 Layoff Permanent,2801 Atlantic Avenue  Long Beach CA 90806
03/31/2025,04/01/2025,05/31/2025,"Transdev Services, Inc.",Shasta County,48 Layoff Permanent,3333 S. Market Street  Redding CA 96003
04/01/2025,04/01/2025,06/02/2025,"Ardent Mills, LLC",Sutter County,28 Closure Permanent,1200 Putnam Avenue  Yuba City CA 95991
03/25/2025,04/01/2025,05/24/2025,"Block, Inc.",Alameda County,240 Layoff Permanent,"1955 Broadway, Suite 600  Oakland CA 94612"
04/01/2025,04/01/2025,06/01/2025,"Cali Nail Market, Inc.",Orange County,59 Closure Permanent,638 W. Southern Avenue  Orange CA 92865
04/01/2025,04/01/2025,06/01/2025,"Cali Nail Market, Inc.",Orange County,12 Closure Permanent,10517 Garden Grove Blvd.  Garden Grove CA 92840
02/16/2025,04/01/2025,04/16/2025,Crothall Healthcare,Riverside County,55 Layoff Permanent,800 S. Main Street  Corona CA 92882
03/31/2025,04/01/2025,05/30/2025,"ST. Distributing Co., LLC",Los Angeles County,190 Closure Permanent,7485 Flores Street  Downey CA 90242
03/31/2025,04/01/2025,05/30/2025,"ST. Distributing Co., LLC",San Diego County,180 Closure Permanent,505. S. Pacific Street  San Marcos CA 92078
03/28/2025,04/01/2025,05/30/2025,"Classic Beverage of Southern California, LLC",San Diego County,55 Closure Permanent,"7825 Trade Street, Ste. 100  San Diego CA 92121"
04/01/2025,04/01/2025,04/01/2025,Cruise LLC,San Francisco County,2 Layoff Permanent,333 Brannan Street  San Francisco CA 94107
03/17/2025,04/01/2025,05/17/2025,All For Kids,Orange County,66 Layoff Permanent,"515 Cabrillo Park Drive, Suite 100  Santa Ana CA 92701"
03/28/2025,04/02/2025,06/01/2025,Chevron,Contra Costa County,600 Layoff Permanent,"5001 Executive Parkway, Suite 200  San Ramon CA 94583"
04/01/2025,04/02/2025,06/02/2025,"ImmPact Bio USA Inc., a subsidiary of Lyell Immunopharma",Los Angeles County,73 Closure Permanent,8501 Fallbrook Ave #200  Canoga Park CA 91304
,,,Inc.,,,
